code,name,subregion_code,region_code
101,KALANGALA,4,1
102,KAMPALA,9,5
103,KIBOGA,3,1
104,LUWEERO,3,1
105,MASAKA,4,1
106,MPIGI,4,1
107,MUBENDE,3,1
108,MUKONO,9,1
109,NAKASONGOLA,3,1
110,RAKAI,4,1
111,SSEMBABULE,4,1
112,KAYUNGA,3,1
113,WAKISO,9,1
114,LYANTONDE,4,1
115,MITYANA,3,1
116,NAKASEKE,3,1
117,BUIKWE,3,1
118,BUKOMANSIMBI,4,1
119,BUTAMBALA,4,1
120,BUVUMA,3,1
121,GOMBA,4,1
122,KALUNGU,4,1
123,KYANKWANZI,3,1
124,LWENGO,4,1
125,KYOTERA,4,1
126,KASSANDA,3,1
127,MASAKA CITY,4,1
201,BUGIRI,7,2
202,BUSIA,5,2
203,IGANGA,7,2
204,JINJA,7,2
205,KAMULI,7,2
206,KAPCHORWA,8,2
207,KATAKWI,14,2
208,KUMI,14,2
209,MBALE,8,2
210,PALLISA,5,2
211,SOROTI,14,2
212,TORORO,5,2
213,KABERAMAIDO,14,2
214,MAYUGE,7,2
215,SIRONKO,8,2
216,AMURIA,14,2
217,BUDAKA,5,2
218,BUDUDA,8,2
219,BUKEDEA,14,2
220,BUKWO,8,2
221,BUTALEJA,5,2
222,KALIRO,7,2
223,MANAFWA,8,2
224,NAMUTUMBA,7,2
225,BULAMBULI,8,2
226,BUYENDE,7,2
227,KIBUKU,5,2
228,KWEEN,8,2
229,LUUKA,7,2
230,NAMAYINGO,7,2
231,NGORA,14,2
232,SERERE,14,2
233,BUTEBO,5,2
234,NAMISINDWA,8,2
235,BUGWERI,7,2
236,KAPELEBYONG,14,2
237,KALAKI,14,2
238,JINJA CITY,7,2
239,MBALE CITY,8,2
240,SOROTI CITY,14,2
301,ADJUMANI,15,4
302,APAC,12,4
304,GULU,1,4
305,KITGUM,1,4
306,KOTIDO,10,4
307,LIRA,12,4
308,MOROTO,10,4
309,MOYO,15,4
310,NEBBI,15,4
311,NAKAPIRIPIRIT,10,4
312,PADER,1,4
313,YUMBE,15,4
314,ABIM,10,4
315,AMOLATAR,12,4
316,AMURU,1,4
317,DOKOLO,12,4
318,KAABONG,10,4
319,KOBOKO,15,4
320,MARACHA,15,4
321,OYAM,12,4
322,AGAGO,1,4
323,ALEBTONG,12,4
324,AMUDAT,10,4
325,KOLE,12,4
326,LAMWO,1,4
327,NAPAK,10,4
328,NWOYA,1,4
329,OTUKE,12,4
330,ZOMBO,15,4
331,OMORO,1,4
332,PAKWACH,15,4
333,KWANIA,12,4
334,NABILATUK,10,4
335,KARENGA,10,4
336,MADI-OKOLLO,15,4
337,OBONGI,15,4
338,ARUA CITY,15,4
339,GULU CITY,1,4
340,ARUA,15,4
340,TEREGO,15,4
341,LIRA CITY,12,4
401,BUNDIBUGYO,13,3
402,BUSHENYI,2,3
403,HOIMA,6,3
404,KABALE,11,3
405,KABAROLE,13,3
406,KASESE,13,3
407,KIBAALE,6,3
408,KISORO,11,3
409,MASINDI,6,3
410,MBARARA,2,3
411,NTUNGAMO,2,3
412,RUKUNGIRI,11,3
413,KAMWENGE,13,3
414,KANUNGU,11,3
415,KYENJOJO,13,3
416,BULIISA,6,3
417,IBANDA,2,3
418,ISINGIRO,2,3
419,KIRUHURA,2,3
420,BUHWEJU,2,3
421,KIRYANDONGO,6,3
422,KYEGEGWA,13,3
423,MITOOMA,2,3
424,NTOROKO,13,3
425,RUBIRIZI,2,3
426,SHEEMA,2,3
427,KAGADI,6,3
428,KAKUMIRO,6,3
429,RUBANDA,11,3
430,RUKIGA,11,3
431,BUNYANGABU,13,3
432,KIKUUBE,6,3
433,KAZO,2,3
434,KITAGWENDA,13,3
435,RWAMPARA,2,3
436,FORT PORTAL CITY,13,3
437,MBARARA CITY,2,3
438,HOIMA CITY,6,3
